address,lat,long
406 ANG MO KIO AVE 10,1.36200453938712,103.853879910407
108 ANG MO KIO AVE 4,1.37094273993858,103.837974822369
602 ANG MO KIO AVE 5,1.38070883044889,103.835368226602
465 ANG MO KIO AVE 10,1.36620104082939,103.857200967235
601 ANG MO KIO AVE 5,1.38104134784496,103.835131744823
150 ANG MO KIO AVE 5,1.37680678506744,103.842017962576
447 ANG MO KIO AVE 10,1.36747901420816,103.855967139125
218 ANG MO KIO AVE 1,1.36511908595885,103.841742478489
571 ANG MO KIO AVE 3,1.37005500420091,103.854880566919
534 ANG MO KIO AVE 10,1.37405846295582,103.854168170426
233 ANG MO KIO AVE 3,1.36754924977905,103.836740628478
235 ANG MO KIO AVE 3,1.36682360872342,103.83649123351
219 ANG MO KIO AVE 1,1.36598198004505,103.840654039612
536 ANG MO KIO AVE 10,1.37447378519738,103.854100515826
230 ANG MO KIO AVE 3,1.36875041500146,103.837993360863
570 ANG MO KIO AVE 3,1.3697435855576,103.856023138277
624 ANG MO KIO AVE 4,1.38156171229824,103.84000226873
441 ANG MO KIO AVE 10,1.36605027829032,103.854168309853
625 ANG MO KIO AVE 9,1.3821986774192,103.841211533475
119 ANG MO KIO AVE 3,1.36956344301911,103.844698910817
255 ANG MO KIO AVE 4,1.37065487078855,103.834630215787
432 ANG MO KIO AVE 10,1.36830996981352,103.853600305664
211 ANG MO KIO AVE 3,1.36919696561702,103.841666636086
584 ANG MO KIO AVE 3,1.37071307985916,103.853497803014
118 ANG MO KIO AVE 4,1.37329593649654,103.835475719134
333 ANG MO KIO AVE 1,1.3613425564061,103.851698621454
256 ANG MO KIO AVE 4,1.3706151759595,103.83596769452
330 ANG MO KIO AVE 1,1.36243186402478,103.851030689651
557 ANG MO KIO AVE 10,1.3716257020332,103.857736107527
302 ANG MO KIO AVE 3,1.36708983179045,103.845660199054
575 ANG MO KIO AVE 10,1.37138855070767,103.855953346739
509 ANG MO KIO AVE 8,1.37400086510075,103.850139806283
472 ANG MO KIO AVE 10,1.36314392666998,103.858118593427
475 ANG MO KIO AVE 10,1.36266297827624,103.85651592319
629 ANG MO KIO AVE 4,1.38010465081462,103.840408680468
546 ANG MO KIO AVE 10,1.37365123866689,103.857022220393
